Q.No.,Date,Text,Asking Member,Addressed Ministry
5566,03-Feb-2023,Area of Defence Land,Ajay Nishad,DEFENCE
5567,03-Feb-2023,Protection of Defence Personnel,N.K. Premachandran,DEFENCE
5568,03-Feb-2023,Fund for Institutions,E. T. Mohammed Basheer,"PORTS, SHIPPING AND WATERWAYS"
5569,03-Feb-2023,Anganwadi Centres,"Uttam Kumar Nalamada Reddy
Gajanan Chandrakant Kirtikar",WOMEN AND CHILD DEVELOPMENT
5570,03-Feb-2023,Implementation of One Rank One Pension-II,Rajmohan Unnithan,DEFENCE
5571,03-Feb-2023,Fake Medicinal Drugs,Gaurav Gogoi,HEALTH AND FAMILY WELFARE
5572,03-Feb-2023,World Ayurveda Foundation,Feroze Varun Gandhi,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5573,03-Feb-2023,Efficacy of Molecular Iodine on Coronavirus,Thirumaa Valavan Thol,CHEMICALS AND FERTILIZERS
5574,03-Feb-2023,Monitoring of Anganwadi Centres,Kanakmal Katara,WOMEN AND CHILD DEVELOPMENT
5575,03-Feb-2023,Ceiling of Charges in Private Nursing Homes,Giridhari Yadav,HEALTH AND FAMILY WELFARE
5576,03-Feb-2023,Outbreak of Viral Diseases,Sangeeta Azad,HEALTH AND FAMILY WELFARE
5577,03-Feb-2023,Operation Sadbhavana in Ladakh,Jamyang Tsering Namgyal,DEFENCE
5578,03-Feb-2023,Vacancies in Allahabad High Court,Kalyan Banerjee,LAW AND JUSTICE
5579,03-Feb-2023,COVAXIN Vaccine,Amar Singh,HEALTH AND FAMILY WELFARE
5580,03-Feb-2023,Expenses on Pending Cases,Deepak Baij,LAW AND JUSTICE
5581,03-Feb-2023,Use of Nano Urea (Liquid),Shyam Yadav Singh,CHEMICALS AND FERTILIZERS
5582,03-Feb-2023,Ayurveda Diet Products,Hema Malini,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5583,03-Feb-2023,e-Pharmacy Apps,Sunita Duggal,HEALTH AND FAMILY WELFARE
5584,03-Feb-2023,Scientific Study on COVID Vaccine,Nama Nageswara Rao,HEALTH AND FAMILY WELFARE
5585,03-Feb-2023,Pradhan Mantri Surakshit Matritva Abhiyan,Ghanshyam Singh Lodhi,HEALTH AND FAMILY WELFARE
5586,03-Feb-2023,Legal Aid Programmes,Achyutananda Samanta,LAW AND JUSTICE
5587,03-Feb-2023,Universal Health Coverage,M. Selvaraj,HEALTH AND FAMILY WELFARE
5588,03-Feb-2023,Sickle Cell Disease,Gajendra Singh Patel,HEALTH AND FAMILY WELFARE
5589,03-Feb-2023,Coast Guard Station,Naranbhai Bhikhabhai Kachhadiya,DEFENCE
5590,03-Feb-2023,Shortage of Urea,Bholanath (B.P. Saroj),CHEMICALS AND FERTILIZERS
5591,03-Feb-2023,Legislation to Check Crimes against Women/ Children,Chunni Lal Sahu,WOMEN AND CHILD DEVELOPMENT
5592,03-Feb-2023,Changes in Curriculum of BDS,A. Ganeshamurthi,HEALTH AND FAMILY WELFARE
5593,03-Feb-2023,e-Pharmacy Apps,Sunita Duggal,HEALTH AND FAMILY WELFARE
5594,03-Feb-2023,Scientific Study on COVID Vaccine,Nama Nageswara Rao,HEALTH AND FAMILY WELFARE
5595,03-Feb-2023,Affordable and Accessible Medical Education,Dharambir Singh,HEALTH AND FAMILY WELFARE
5596,03-Feb-2023,Honorarium/Incentives to ASHA Workers,"Anubhav Mohanty
Ghanshyam Singh Lodhi",HEALTH AND FAMILY WELFARE
5597,03-Feb-2023,Jan Aushadhi Kendra in Bihar,Mahabali Singh,CHEMICALS AND FERTILIZERS
5598,03-Feb-2023,Special AYUSH Visa,Ramesh Bidhuri,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5599,03-Feb-2023,Targets Achieved under PMSSY,Bhartruhari Mahtab,HEALTH AND FAMILY WELFARE
5600,03-Feb-2023,Increase in Prices of Drugs,"D. Ravikumar
Dileshwar Kamait",CHEMICALS AND FERTILIZERS
5601,03-Feb-2023,Anganwadi Centres in Uttar Pradesh,Upendra Singh Rawat,WOMEN AND CHILD DEVELOPMENT
5602,03-Feb-2023,AYUSH Hospital in Telangana,"Gaddam Ranjith Reddy
Kavitha Malothu
Venkatesh Netha Borlakunta","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5603,03-Feb-2023,Secunderabad Cantonment Board,Anumula Revanth Reddy,DEFENCE
5604,03-Feb-2023,Re-employment of Ex-servicemen in Government Jobs,Kinjarapu Ram Mohan Naidu,DEFENCE
5605,03-Feb-2023,Mental Health Counselling in Shelter Homes,Hemant Tukaram Godse,WOMEN AND CHILD DEVELOPMENT
5606,03-Feb-2023,Demand of Urea in Bihar,"Kaushalendra Kumar
Dinesh Chandra Yadav
Alok Kumar Suman
Dileshwar Kamait",CHEMICALS AND FERTILIZERS
5607,03-Feb-2023,Rules for Providing Fertilizers to States,Rajan Baburao Vichare,CHEMICALS AND FERTILIZERS
5608,03-Feb-2023,Ordnance Factory Board,Rajendra Dhedya Gavit,DEFENCE
5609,03-Feb-2023,Chronic Diseases,Khagen Murmu,HEALTH AND FAMILY WELFARE
5610,03-Feb-2023,Performance of AYUSH Schemes,Thomas Chazhikadan,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5611,03-Feb-2023,Rates fixed under Ayushman Bharat Yojana,Uday Pratap Singh,HEALTH AND FAMILY WELFARE
5612,03-Feb-2023,Mortality due to Snake Bite,"Shardaben Anilbhai Patel
Mitesh Rameshbhai (Bakabhai) Patel",LAW AND JUSTICE
5613,03-Feb-2023,Grants for Infrastructural Development for Judiciary,S. Ramalingam,LAW AND JUSTICE
5614,03-Feb-2023,Deaths due to Cough Syrup,Adoor Prakash,HEALTH AND FAMILY WELFARE
5615,03-Feb-2023,"Medical Benefits under CS (MA) Rules, 1944",Mimi Chakraborty,HEALTH AND FAMILY WELFARE
5616,03-Feb-2023,Mission Shakti,S. Venkatesan,WOMEN AND CHILD DEVELOPMENT
5617,03-Feb-2023,Legal Advice on OBC Quota in Agricultural Universities,A.K.P. Chinraj,LAW AND JUSTICE
5618,03-Feb-2023,Mortality due to Tobacco Consumption,Gomati Sai,HEALTH AND FAMILY WELFARE
5619,03-Feb-2023,Cases of Breast Cancer,Vellalath Kochukrishnan Nair. Sreekandan,HEALTH AND FAMILY WELFARE
5620,03-Feb-2023,Medicinal Plants Products,Chandra Sekhar Bellana,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5621,03-Feb-2023,Pravasi Bharatiya Divas,Kotha Prabhakar Reddy,EXTERNAL AFFAIRS
5622,03-Feb-2023,Use of Regional Language in Law Courses,Shashi Tharoor,LAW AND JUSTICE
5623,03-Feb-2023,Sainik Schools,"Annasaheb Shankar Jolle
Jaswantsinh Sumanbhai Bhabhor",DEFENCE
5624,03-Feb-2023,G-20 Leaders Summit,P. Ravindhranath,EXTERNAL AFFAIRS
5625,03-Feb-2023,Shortage of Trained Medical Staff,"Ajay Kumar Mandal
Locket Chatterjee
Ramesh Chander Kaushik
Sunil Kumar Pintu
Geeta Kora
Riti Pathak
Jugal Kishore Sharma",HEALTH AND FAMILY WELFARE
5626,03-Feb-2023,Mental Health Counsellors,Jayant Sinha,HEALTH AND FAMILY WELFARE
5627,03-Feb-2023,PPP Projects in AYUSH Sector,"Adala Prabhakara Reddy
Chandra Sekhar Bellana","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5628,03-Feb-2023,Medical Device Parks,Rajiv Pratap Rudy,CHEMICALS AND FERTILIZERS
5629,03-Feb-2023,Supplement Food for Pregnant and Lactating Women,"Sanganna Amarappa Karadi
Umesh G. Jadhav
Jaisiddeshwar Shivacharya Mahaswamiji",WOMEN AND CHILD DEVELOPMENT
5630,03-Feb-2023,Passport Office in Gondia,Sunil Baburao Mendhe,EXTERNAL AFFAIRS
5631,03-Feb-2023,Study on Accessibility of Court Complexes to Litigants,Pinaki Misra,LAW AND JUSTICE
5632,03-Feb-2023,AYUSH Hospitals in Haryana,Nayab Singh,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5633,03-Feb-2023,Fee structure for UG and PG Courses,"Vinayak Bhaurao Raut
Hema Malini
Arvind Ganpat Sawant",HEALTH AND FAMILY WELFARE
5634,03-Feb-2023,Haldia-Varansi River Road,Sisir Kumar Adhikari,"PORTS, SHIPPING AND WATERWAYS"
5635,03-Feb-2023,Crime against Women,"Pushpendra Singh Chandel
Sangeeta Azad",WOMEN AND CHILD DEVELOPMENT
5636,03-Feb-2023,Implementation of Ayushman Bharat Yojana,"Shivkumar Chanabasappa Udasi
Arun Sao
Ranjeetsingh Naik Nimbalkar
Saikia Dilip
Haji Fazlur Rehman
Sudhakar Tukaram Shrangre",HEALTH AND FAMILY WELFARE
5637,03-Feb-2023,Active Pharmaceutical Ingredient,Pocha Brahmananda Reddy,CHEMICALS AND FERTILIZERS
5638,03-Feb-2023,Increasing Cases of Sub-Standard Medical Implants,Ramcharan Bohra,HEALTH AND FAMILY WELFARE
5639,03-Feb-2023,Airborne Helmets,Manish Tewari,DEFENCE
5640,03-Feb-2023,Import of Defence Items,Deepak (Dev) Adhikari,DEFENCE
5641,03-Feb-2023,Mechanism to Review Anganwadi Centres,Sanjay Seth,WOMEN AND CHILD DEVELOPMENT
5642,03-Feb-2023,Setting up of Tribunals,L.S. Tejasvi Surya,HEALTH AND FAMILY WELFARE
5643,03-Feb-2023,Indian Workers Stuck Abroad,Jagdambika Pal,EXTERNAL AFFAIRS
5644,03-Feb-2023,Cooperation under Multilateral Framework,Asaduddin Owaisi,EXTERNAL AFFAIRS
5645,03-Feb-2023,Per capita Health Expenditure on Government Employees,Karti P. Chidambaram,HEALTH AND FAMILY WELFARE
5646,03-Feb-2023,Shortage of speciality doctors in CHCs,"Manickam Tagore B
S. Venkatesan
Kotha Prabhakar Reddy",HEALTH AND FAMILY WELFARE
5647,03-Feb-2023,Growth in Domestic Shipping Industry,Rajendra Agrawal,"PORTS, SHIPPING AND WATERWAYS"
5648,03-Feb-2023,Alumni Association in Sainik Schools,S. Muniswamy,DEFENCE
5649,03-Feb-2023,Pitiable Condition of Children,Ramdas Chandrabhanji Tadas,WOMEN AND CHILD DEVELOPMENT
5650,03-Feb-2023,Renaming of Haldia Dock Complex,Dibyendu Adhikari,"PORTS, SHIPPING AND WATERWAYS"
5651,03-Feb-2023,Social and Economic Empowerment of Women,"Rahul Ramesh Shewale
Pritam Gopinath Munde
Girish Bhalchandra Bapat
D.K. Suresh",WOMEN AND CHILD DEVELOPMENT
5652,03-Feb-2023,Purchase of Booster Dose Vaccines of COVID-19,Mala Roy,HEALTH AND FAMILY WELFARE
5653,03-Feb-2023,Difficulties in Visa Appointments,"Sarmistha Sethi
Kinjarapu Ram Mohan Naidu",EXTERNAL AFFAIRS
5654,03-Feb-2023,Works undertaken in Chennai Port,V. Kalanidhi,"PORTS, SHIPPING AND WATERWAYS"
5655,03-Feb-2023,Delay in Hearing of Cases in High Courts,"Arun Kumar Sagar
Ashok Kumar Rawat",LAW AND JUSTICE
5656,03-Feb-2023,Distinctions in the Biological and Biochemical Properties of Adults and Children,Kani K. Navas,CHEMICALS AND FERTILIZERS
5657,03-Feb-2023,Electoral Reforms,Ashok Mahadeorao Nete,LAW AND JUSTICE
5658,03-Feb-2023,Domestic Pharmaceutical Companies,S. Jagathrakshakan,CHEMICALS AND FERTILIZERS
5659,03-Feb-2023,Star Rating for Processed Food,Lavu Sri Krishna Devarayalu,HEALTH AND FAMILY WELFARE
5660,03-Feb-2023,Menstrual Leave,"T.N. Prathapan
Behanan Benny
Rajmohan Unnithan",HEALTH AND FAMILY WELFARE
5661,03-Feb-2023,Skill Development Programme of CIPET,M V V Satyanarayana,CHEMICALS AND FERTILIZERS
5662,03-Feb-2023,Facilities to Retired Judges,Gopal Chinayya Shetty,LAW AND JUSTICE
5663,03-Feb-2023,Difficulties in Visa Appointments,"Sarmistha Sethi
Kinjarapu Ram Mohan Naidu",CHEMICALS AND FERTILIZERS
5664,03-Feb-2023,Medicines for Cancer Patients,Debasree Chaudhuri,CHEMICALS AND FERTILIZERS
5665,03-Feb-2023,Crimes against Children,Abdul Majeed Ariff,WOMEN AND CHILD DEVELOPMENT
5666,03-Feb-2023,Pradhan Mantri Matru Vandana Yojana,Vivek Narayan Shejwalkar,WOMEN AND CHILD DEVELOPMENT
5667,03-Feb-2023,Schools run by DRDO,Kotagiri Sridhar,DEFENCE
5668,03-Feb-2023,Access to Menstrual Hygiene Products,Rajyavardhan Singh Rathore,HEALTH AND FAMILY WELFARE
5669,03-Feb-2023,Chemical Adulteration,Anurag Sharma,HEALTH AND FAMILY WELFARE
5670,03-Feb-2023,Ayurveda Research Centres,Sunil Dattatray Tatkare,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5671,03-Feb-2023,Guidelines for Appointment of Judges in High Courts,Vijayakumar (alias) Vijay Vasanth,LAW AND JUSTICE
5672,03-Feb-2023,Funds for Satara District Medical College,Shriniwas Dadasaheb Patil,HEALTH AND FAMILY WELFARE
5673,03-Feb-2023,Domestic Production of Synthetic Rubber,Sanjeev Kumar Singari,CHEMICALS AND FERTILIZERS
5674,03-Feb-2023,Medicines for Cancer Patients,Jaskaur Meena,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5675,03-Feb-2023,Chikungunia and Dengue Diseases,Jai Prakash,HEALTH AND FAMILY WELFARE
5676,03-Feb-2023,Global South Summit,Andimuthu Raja,EXTERNAL AFFAIRS
5677,03-Feb-2023,Marriage Age of Women,"Kumbakudi Sudhakaran
K. Muraleedharan
Bhagirath Chaudhary",WOMEN AND CHILD DEVELOPMENT
5678,03-Feb-2023,Production of Methanol,"Balashowry Vallabbhaneni
Magunta Sreenivasulu Reddy
Lavu Sri Krishna Devarayalu",CHEMICALS AND FERTILIZERS
5679,03-Feb-2023,Salary of Nurses,Dean Kuriakose,HEALTH AND FAMILY WELFARE
5680,03-Feb-2023,National Tele Mental Health Programme in Maharashtra,Sanjay(Kaka) Ramchandra Patil,HEALTH AND FAMILY WELFARE
5681,03-Feb-2023,Missing Children,Jual Oram,WOMEN AND CHILD DEVELOPMENT
5682,03-Feb-2023,C-295 Defence Aircraft,"Raja Amareshwara Naik
Sukanta Majumdar
Vinod Kumar Sonkar
Bhola Singh
Rajveer (Raju Bhaiya) Singh",WOMEN AND CHILD DEVELOPMENT
5683,03-Feb-2023,Funds to NGOs for Development of Women and Children,"Sukanta Majumdar
Khagen Murmu
Raja Amareshwara Naik
Rajveer (Raju Bhaiya) Singh
Bhola Singh",WOMEN AND CHILD DEVELOPMENT
5684,03-Feb-2023,Children Care and Protection Homes,Maddila Gurumoorthy,WOMEN AND CHILD DEVELOPMENT
5685,03-Feb-2023,Uniform Civil Code,Hibi Eden,LAW AND JUSTICE
5686,03-Feb-2023,Impact of Single Super Phosphate,"Chandra Sekhar Sahu
Pritam Gopinath Munde
Rahul Ramesh Shewale
Girish Bhalchandra Bapat",CHEMICALS AND FERTILIZERS
5687,03-Feb-2023,Supply of Active Pharmaceuticals Ingredients,"Ramya Haridas
Uday Pratap Singh
Brijendra Singh",CHEMICALS AND FERTILIZERS
5688,03-Feb-2023,Use of Regional Languages in High Courts,P.R. Natarajan,LAW AND JUSTICE
5689,03-Feb-2023,Jan Aushadhi Kendras in Andhra Pradesh,"Magunta Sreenivasulu Reddy
Maddila Gurumoorthy",CHEMICALS AND FERTILIZERS
5690,03-Feb-2023,Implementation of ICDS Programme in AWCs,Poonamben Hematbhai Maadam,WOMEN AND CHILD DEVELOPMENT
5691,03-Feb-2023,Beneficiaries under POSHAN Abhiyan,"Bhavana Gawali (Patil)
Mohanbhai Sanjibhai Delkar",WOMEN AND CHILD DEVELOPMENT
5692,03-Feb-2023,Success Rate of One Stop Centres,Vishnu Dayal Ram,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5693,03-Feb-2023,Super Speciality Hospitals/Blocks under PMSSY,"Krupal Balaji Tumane
DNV Senthilkumar. S.
Achyutananda Samanta",HEALTH AND FAMILY WELFARE
5694,03-Feb-2023,Export from Ports of Gujarat,Jaswantsinh Sumanbhai Bhabhor,"PORTS, SHIPPING AND WATERWAYS"
5695,03-Feb-2023,Janani Suraksha Yojana,"Srinivas Kesineni
Upendra Singh Rawat",HEALTH AND FAMILY WELFARE
5696,03-Feb-2023,AYUSH Wellness Centres,Kripanath Mallah,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5697,03-Feb-2023,Transportation of Goods through Waterways,Malook Nagar,"PORTS, SHIPPING AND WATERWAYS"
5698,03-Feb-2023,Health Schemes for Rural Women,Kuldeep Rai Sharma,HEALTH AND FAMILY WELFARE
5699,03-Feb-2023,Pradhan Mantri Garib Kalyan Package Insurance Scheme,"DNV Senthilkumar. S.
Supriya Sadanand Sule",HEALTH AND FAMILY WELFARE
5700,03-Feb-2023,Increase in Domestic Production of Fertilizers,"Geetha Viswanath Vanga
Jual Oram",CHEMICALS AND FERTILIZERS
5701,03-Feb-2023,Working Women Hostels,Nusrat Jahan Ruhi,WOMEN AND CHILD DEVELOPMENT
5702,03-Feb-2023,Setting up of Yoga Institutes,Anto Antony,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5703,03-Feb-2023,Super Speciality Hospitals/Blocks under PMSSY,"Krupal Balaji Tumane
DNV Senthilkumar. S.
Achyutananda Samanta",HEALTH AND FAMILY WELFARE
5704,03-Feb-2023,Regulation on use of Drugs,Vishnu Dutt Sharma,HEALTH AND FAMILY WELFARE
5705,03-Feb-2023,Beneficiaries under PMMVY,"Jayanta Kumar Roy
Sangeeta Kumari Singh Deo",WOMEN AND CHILD DEVELOPMENT
5706,03-Feb-2023,Labour Violations in Construction of FIFA Projects,"Kavitha Malothu
Gaddam Ranjith Reddy
Venkatesh Netha Borlakunta",EXTERNAL AFFAIRS
5707,03-Feb-2023,Fee Structure in Sainik Schools,S. Gnanathiraviam,DEFENCE
5708,03-Feb-2023,Indians seeking Asylum in Foreign Countries,Abdul Khaleque,EXTERNAL AFFAIRS
5709,03-Feb-2023,Incentives under Pradhan Mantri Matru Vandana Yojana,Raju Bista,WOMEN AND CHILD DEVELOPMENT
5710,03-Feb-2023,Foreign Medical Students,Su Thirunavukkarasar,HEALTH AND FAMILY WELFARE
5711,03-Feb-2023,National Nutrition Mission,Reddeppa Nallakonda Gari,WOMEN AND CHILD DEVELOPMENT
5712,03-Feb-2023,Strengthening of ICDS Scheme,Rahul Gandhi,WOMEN AND CHILD DEVELOPMENT
5713,03-Feb-2023,Linking of Mahananda River,Dulal Chandra Goswami,"PORTS, SHIPPING AND WATERWAYS"
5714,03-Feb-2023,Drugs Excluded/Included in NLEM,"Raksha Nikhil Khadse
Manoj Kishorbhai Kotak",HEALTH AND FAMILY WELFARE
5715,03-Feb-2023,New Projects under Sagarmala,M. K. Raghavan,"PORTS, SHIPPING AND WATERWAYS"
5716,03-Feb-2023,"Promotion of One Herb, One Standard","Parbatbhai Savabhai Patel
Pradeep Kumar Singh","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5717,03-Feb-2023,Supplementary Nutrition Programme,"Sujay Radhakrishna Vikhepatil
Heena Vijaykumar Gavit
Unmesh Bhaiyyasaheb Patil
Krishna Pal Singh Yadav
Shrikant Eknath Shinde
Rita Bahuguna Joshi",WOMEN AND CHILD DEVELOPMENT
5718,03-Feb-2023,Promotion of Ayurveda,"Geeta Kora
Riti Pathak
Parbatbhai Savabhai Patel
Pradeep Kumar Singh
Jugal Kishore Sharma","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5719,03-Feb-2023,Remote Voting Machine,"K. Subbarayan
Manickam Tagore B
Anto Antony
Gaurav Gogoi",LAW AND JUSTICE
5720,03-Feb-2023,Internal Complaint Committee,"Nalin Kumar Kateel
Sumalatha Ambareesh",WOMEN AND CHILD DEVELOPMENT
5721,03-Feb-2023,Utilization under Nirbhaya Fund,Kuruva Gorantla Madhav,WOMEN AND CHILD DEVELOPMENT
5722,03-Feb-2023,Cases of Breast and Cervical Cancer,S. Jothimani,HEALTH AND FAMILY WELFARE
5723,03-Feb-2023,Construction of Waterways,Sougata Ray,"PORTS, SHIPPING AND WATERWAYS"
5724,03-Feb-2023,Digitization of Courts,"Vincent H Pala
Jagdambika Pal
Rajendra Agrawal
Rattan Lal Kataria",LAW AND JUSTICE
5725,03-Feb-2023,Representation of Women in Courts,Ranjanben Dhananjay Bhatt,LAW AND JUSTICE
5726,03-Feb-2023,Lok Adalat in Karnal Region,Sanjay Bhatia,LAW AND JUSTICE
5727,03-Feb-2023,Review of Constitution,Sushil Kumar Singh,LAW AND JUSTICE
5728,03-Feb-2023,Disability Pension to Defence Personnel,Chandeshwar Prasad,DEFENCE
5729,03-Feb-2023,Training for Members of Internal Complaint Committee,"Sumalatha Ambareesh
Nalin Kumar Kateel
D.K. Suresh",WOMEN AND CHILD DEVELOPMENT
5730,03-Feb-2023,Development of Kolkata Port,Mahua Moitra,"PORTS, SHIPPING AND WATERWAYS"
5731,03-Feb-2023,Shortage of Female Health Workers in CHCs,Gautham Sigamani Pon,HEALTH AND FAMILY WELFARE
5732,03-Feb-2023,Deaths due to Cardiovascular Diseases,"Diya Kumari
Ravi Kishan Shukla
Nishikant Dubey
Manoj Kumar Tiwari
Ravindra Kushawaha",HEALTH AND FAMILY WELFARE
5733,03-Feb-2023,PM National Dialysis Programme,"Heena Vijaykumar Gavit
Sujay Radhakrishna Vikhepatil
Rita Bahuguna Joshi
Krishna Pal Singh Yadav
Unmesh Bhaiyyasaheb Patil
Shrikant Eknath Shinde",HEALTH AND FAMILY WELFARE
5734,03-Feb-2023,Membership in UNSC,T. R. Paarivendhar,EXTERNAL AFFAIRS
5735,03-Feb-2023,Students Studying in Ukraine,K. Shanmuga Sundaram,EXTERNAL AFFAIRS
5736,03-Feb-2023,Standards for traditional Medicines,"Devji Mansingram Patel
Ranjeetsingh Naik Nimbalkar
Sunil Kumar Singh
Sudhakar Tukaram Shrangre
Saikia Dilip","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5737,03-Feb-2023,Modernization of Anganwadi Centres,Y. S. Avinash Reddy,WOMEN AND CHILD DEVELOPMENT
5738,03-Feb-2023,Reduction in Over Usage of Urea,Dushyant Singh,CHEMICALS AND FERTILIZERS
5739,03-Feb-2023,AYUSH Medicines in AIIMS,"Arun Sao
Vijay Baghel
Mohan Mandavi","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5740,03-Feb-2023,SAAPs under NAM,"D. M. Kathir Anand
Anurag Sharma
Dr. T. Sumathy (a) Thamizhachi Thangapandian","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5741,03-Feb-2023,Compensation Scheme for Women,"Pradyut Bordoloi
Gaurav Gogoi
Vincent H Pala",WOMEN AND CHILD DEVELOPMENT
5742,03-Feb-2023,POSHAN Maah,P.P. Chaudhary,WOMEN AND CHILD DEVELOPMENT
5743,03-Feb-2023,Exchange Programme for AYUSH,Jagannath Sarkar,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5744,03-Feb-2023,Awareness Programme on SAM,Pallab Lochan Das,WOMEN AND CHILD DEVELOPMENT
5745,03-Feb-2023,Development of Ayurvedic Medicines,Gowdar Mallikarjunappa Siddeshwara,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5746,03-Feb-2023,e-Lok Adalats,Margani Bharat,LAW AND JUSTICE
5747,03-Feb-2023,Jan Aushadhi Kendras,"Rajeshbhai Naranbhai Chudasama
Pocha Brahmananda Reddy
Anil Firojiya",CHEMICALS AND FERTILIZERS
5748,03-Feb-2023,Utilization of Funds under National Nutrition Mission,Rajan Baburao Vichare,WOMEN AND CHILD DEVELOPMENT
5749,03-Feb-2023,Sexual Exploitation of Minor Girl Child,Dhal Singh Bisen,WOMEN AND CHILD DEVELOPMENT
5750,03-Feb-2023,Diagnostic Laboratories,"Bharatiben Dhirubhai Shyal
Arvind Kumar Sharma",HEALTH AND FAMILY WELFARE
5751,03-Feb-2023,AYUSH Medicines,Dileshwar Kamait,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5752,03-Feb-2023,Indian Convicts in Foreign Jails,"Suresh Kodikunnil
Vellalath Kochukrishnan Nair. Sreekandan
Sukanta Majumdar
Raja Amareshwara Naik
Vinod Kumar Sonkar
Rajveer (Raju Bhaiya) Singh
Bhola Singh",EXTERNAL AFFAIRS
5753,03-Feb-2023,Exchange Programme for AYUSH,Jagannath Sarkar,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
5754,03-Feb-2023,Shortage of Fertilizers in Odisha and West Bengal,"Sangeeta Kumari Singh Deo
Jayanta Kumar Roy",CHEMICALS AND FERTILIZERS
5755,03-Feb-2023,Advanced Dredging Strategies,"Devendrappa Y
Sanjeev Kumar Singari
Arun Sao
Devji Mansingram Patel
Kuruva Gorantla Madhav
Ranjeetsingh Naik Nimbalkar
Sudhakar Tukaram Shrangre
Vijay Baghel
Mohan Mandavi
Shivkumar Chanabasappa Udasi
Saikia Dilip","PORTS, SHIPPING AND WATERWAYS"
5756,03-Feb-2023,Density of Hospitals,Janardan Singh Sigriwal,HEALTH AND FAMILY WELFARE
5757,03-Feb-2023,ICDS and Women Empowerment Scheme in Tamil Nadu,S.R. Parthiban,WOMEN AND CHILD DEVELOPMENT
5758,03-Feb-2023,Projects of DRDO,"Komati Reddy Venkat Reddy
Y. S. Avinash Reddy
Manne Srinivas Reddy",DEFENCE
5759,03-Feb-2023,Encroachment on Sabeya Airfield,Alok Kumar Suman,DEFENCE
5760,03-Feb-2023,Anganwadi Centres in Telangana,Bheemrao Baswanthrao Patil,WOMEN AND CHILD DEVELOPMENT
5761,03-Feb-2023,e-Sanjeevani OPD,"Dipsinh Shankarsinh Rathod
Mohanbhai Kalyanji Kundariya",HEALTH AND FAMILY WELFARE
5762,03-Feb-2023,Funds for Development of Ports,Raghu Ramakrishna Raju Kanumuru,"PORTS, SHIPPING AND WATERWAYS"
5763,03-Feb-2023,Smuggling of Indian Citizens,Chinta Anuradha,EXTERNAL AFFAIRS
5764,02-Feb-2023,Study on Dams,Nishikant Dubey,JAL SHAKTI
5765,02-Feb-2023,Use of Substandard Construction Material,Kaushalendra Kumar,ROAD TRANSPORT AND HIGHWAYS
5766,02-Feb-2023,Facilities to Street Vendors,"Jayadev Galla
Kinjarapu Ram Mohan Naidu",HOUSING AND URBAN AFFAIRS
5767,02-Feb-2023,Work on NH-47,Durga Das Uikey,ROAD TRANSPORT AND HIGHWAYS
5768,02-Feb-2023,Route Dispersal Guidelines,P.R. Natarajan,CIVIL AVIATION
5769,02-Feb-2023,Increase in Demand for Power,Sanjay(Kaka) Ramchandra Patil,POWER
